UID,Recomend
1,"[[80], [80, 72, 73, 89, 76, 53, 27, 87, 31, 71]]"
2,"[[72], [72, 81, 78, 80, 76, 89, 53, 50, 73, 83]]"
3,"[[22], [22, 34, 21, 89, 91, 65, 14, 50, 53, 27]]"
4,"[[62], [62, 44, 60, 57, 48, 7, 68, 97, 1, 86]]"
5,"[[53], [53, 29, 50, 35, 80, 42, 32, 14, 72, 61]]"
6,"[[50], [50, 10, 22, 29, 27, 36, 38, 35, 34, 25]]"
7,"[[27], [27, 72, 53, 98, 50, 31, 54, 80, 49, 65]]"
8,"[[62], [62, 68, 61, 66, 47, 32, 28, 89, 27, 54]]"
9,"[[27], [27, 50, 36, 31, 100, 29, 65, 53, 87, 35]]"
10,"[[27], [27, 36, 31, 61, 62, 50, 5, 32, 66, 53]]"
11,"[[50], [50, 100, 85, 69, 49, 42, 31, 61, 53, 62]]"
12,"[[100], [100, 73, 80, 78, 27, 85, 31, 87, 61, 65]]"
13,"[[62], [62, 68, 18, 32, 28, 66, 47, 20, 49, 19]]"
14,"[[10], [10, 64, 60, 9, 54, 97, 91, 89, 55, 94]]"
15,"[[50], [50, 36, 89, 27, 53, 35, 29, 32, 72, 65]]"
16,"[[44], [44, 57, 10, 55, 67, 94, 9, 24, 43, 23]]"
17,"[[73], [73, 80, 51, 6, 65, 52, 78, 72, 14, 83]]"
18,"[[5], [5, 100, 7, 3, 11, 51, 27, 29, 21, 17]]"
19,"[[89], [89, 50, 53, 27, 21, 65, 54, 36, 72, 32]]"
20,"[[16], [16, 95, 18, 89, 94, 75, 57, 91, 67, 92]]"
21,"[[42], [42, 65, 21, 53, 49, 54, 50, 39, 14, 61]]"
22,"[[53], [53, 32, 50, 72, 89, 49, 62, 68, 27, 54]]"
23,"[[89], [89, 47, 62, 68, 32, 28, 54, 76, 49, 53]]"
24,"[[65], [65, 14, 42, 22, 21, 53, 31, 34, 61, 12]]"
25,"[[62], [62, 54, 53, 89, 68, 96, 65, 32, 66, 72]]"
26,"[[53], [53, 36, 50, 27, 21, 80, 72, 61, 31, 32]]"
27,"[[50], [50, 53, 36, 65, 27, 29, 89, 35, 54, 32]]"
28,"[[53], [53, 65, 54, 50, 32, 27, 61, 29, 35, 69]]"
29,"[[67], [67, 78, 91, 23, 10, 94, 19, 70, 9, 73]]"
30,"[[62], [62, 66, 50, 68, 18, 65, 53, 57, 35, 16]]"
31,"[[14], [14, 21, 34, 12, 39, 25, 26, 42, 53, 65]]"
32,"[[60], [60, 97, 89, 81, 5, 94, 50, 76, 86, 32]]"
33,"[[8], [8, 3, 64, 11, 10, 54, 32, 60, 36, 89]]"
34,"[[32], [32, 50, 89, 36, 29, 27, 8, 53, 35, 54]]"
35,"[[27], [27, 31, 61, 36, 11, 66, 65, 50, 21, 35]]"
36,"[[50], [50, 49, 56, 62, 36, 29, 53, 31, 35, 69]]"
37,"[[49], [49, 50, 62, 53, 42, 68, 32, 21, 65, 66]]"
38,"[[7], [7, 15, 37, 89, 13, 97, 91, 50, 8, 93]]"
39,"[[1], [1, 10, 89, 60, 55, 36, 88, 38, 91, 97]]"
40,"[[5], [5, 83, 81, 29, 50, 65, 87, 53, 91, 35]]"
41,"[[62], [62, 32, 68, 47, 49, 28, 53, 50, 54, 35]]"
42,"[[65], [65, 14, 29, 21, 56, 26, 50, 42, 22, 25]]"
43,"[[81], [81, 83, 89, 87, 88, 76, 50, 72, 91, 29]]"
44,"[[10], [10, 44, 9, 38, 60, 37, 22, 23, 55, 1]]"
45,"[[27], [27, 81, 5, 36, 29, 31, 87, 50, 89, 65]]"
46,"[[31], [31, 61, 66, 27, 50, 36, 29, 48, 49, 62]]"
47,"[[27], [27, 80, 53, 31, 72, 65, 21, 83, 73, 50]]"
48,"[[97], [97, 88, 60, 9, 37, 86, 96, 89, 63, 67]]"
49,"[[31], [31, 49, 21, 54, 39, 61, 42, 14, 65, 53]]"
50,"[[31], [31, 27, 36, 61, 50, 66, 49, 53, 69, 32]]"
51,"[[50], [50, 89, 27, 29, 32, 100, 36, 53, 54, 21]]"
52,"[[53], [53, 81, 50, 21, 42, 72, 83, 39, 31, 36]]"
53,"[[54], [54, 89, 62, 32, 53, 65, 61, 76, 72, 27]]"
54,"[[62], [62, 32, 68, 28, 49, 27, 66, 54, 48, 61]]"
55,"[[50], [50, 40, 62, 89, 32, 35, 48, 10, 36, 88]]"
56,"[[50], [50, 36, 32, 29, 53, 27, 35, 18, 62, 66]]"
57,"[[5], [5, 50, 18, 27, 89, 36, 29, 19, 8, 32]]"
58,"[[2], [2, 29, 50, 11, 10, 36, 31, 27, 35, 3]]"
59,"[[62], [62, 68, 32, 94, 89, 47, 49, 63, 28, 56]]"
60,"[[65], [65, 53, 49, 62, 31, 66, 27, 42, 68, 54]]"
61,"[[98], [98, 72, 50, 27, 76, 78, 100, 89, 97, 35]]"
62,"[[89], [89, 62, 32, 50, 88, 91, 48, 97, 18, 68]]"
63,"[[50], [50, 27, 36, 53, 31, 29, 35, 32, 61, 69]]"
64,"[[27], [27, 31, 65, 36, 50, 66, 62, 69, 61, 21]]"
65,"[[2], [2, 1, 31, 10, 81, 98, 65, 55, 22, 100]]"
66,"[[50], [50, 27, 81, 22, 31, 34, 35, 87, 36, 41]]"
67,"[[89], [89, 32, 54, 68, 28, 49, 62, 8, 76, 48]]"
68,"[[32], [32, 49, 62, 68, 28, 39, 48, 50, 89, 42]]"
69,"[[89], [89, 50, 29, 62, 53, 32, 35, 36, 54, 49]]"
70,"[[72], [72, 78, 73, 76, 83, 50, 80, 71, 89, 53]]"
71,"[[27], [27, 50, 48, 78, 62, 49, 32, 11, 31, 36]]"
72,"[[31], [31, 65, 27, 61, 14, 21, 6, 11, 36, 39]]"
73,"[[62], [62, 89, 54, 68, 32, 28, 61, 49, 47, 66]]"
74,"[[50], [50, 89, 29, 36, 35, 32, 62, 69, 53, 56]]"
75,"[[11], [11, 14, 65, 3, 51, 12, 34, 31, 21, 10]]"
76,"[[29], [29, 2, 7, 5, 11, 36, 27, 50, 1, 31]]"
77,"[[5], [5, 20, 79, 78, 73, 77, 80, 19, 90, 82]]"
78,"[[14], [14, 65, 21, 42, 26, 39, 54, 34, 22, 31]]"
79,"[[47], [47, 28, 62, 68, 49, 48, 54, 6, 61, 66]]"
80,"[[89], [89, 50, 53, 29, 91, 81, 35, 83, 54, 93]]"
81,"[[22], [22, 21, 51, 25, 65, 67, 34, 41, 98, 52]]"
82,"[[100], [100, 98, 94, 97, 51, 10, 3, 86, 52, 85]]"
83,"[[50], [50, 29, 81, 35, 53, 89, 76, 36, 87, 72]]"
84,"[[21], [21, 65, 31, 81, 50, 53, 42, 27, 49, 29]]"
85,"[[21], [21, 83, 39, 11, 100, 85, 50, 49, 42, 40]]"
86,"[[71], [71, 62, 68, 89, 66, 50, 91, 53, 76, 72]]"
87,"[[42], [42, 14, 50, 26, 65, 53, 49, 21, 46, 54]]"
88,"[[87], [87, 88, 89, 27, 62, 66, 50, 72, 31, 61]]"
89,"[[31], [31, 49, 65, 54, 42, 21, 26, 62, 69, 50]]"
90,"[[50], [50, 89, 53, 32, 54, 29, 62, 35, 36, 97]]"
91,"[[76], [76, 50, 25, 53, 72, 6, 49, 81, 78, 66]]"
92,"[[36], [36, 50, 27, 62, 32, 29, 89, 8, 35, 68]]"
93,"[[27], [27, 31, 65, 50, 36, 49, 66, 21, 62, 53]]"
94,"[[34], [34, 39, 70, 21, 22, 6, 51, 52, 42, 12]]"
95,"[[10], [10, 9, 3, 97, 67, 44, 1, 86, 22, 23]]"
96,"[[10], [10, 50, 29, 36, 56, 38, 35, 53, 46, 2]]"
97,"[[49], [49, 62, 68, 32, 89, 50, 53, 54, 47, 28]]"
98,"[[65], [65, 53, 98, 29, 21, 50, 31, 100, 42, 83]]"
99,"[[50], [50, 27, 31, 36, 61, 53, 29, 32, 69, 62]]"
100,"[[22], [22, 41, 10, 25, 38, 50, 6, 11, 89, 48]]"
101,"[[50], [50, 29, 35, 36, 53, 2, 69, 46, 27, 32]]"
102,"[[32], [32, 50, 54, 62, 29, 49, 36, 61, 65, 27]]"
103,"[[36], [36, 94, 1, 50, 32, 18, 89, 10, 88, 62]]"
104,"[[8], [8, 5, 15, 7, 10, 50, 29, 1, 3, 2]]"
105,"[[27], [27, 29, 31, 36, 50, 35, 65, 100, 2, 61]]"
106,"[[89], [89, 29, 32, 50, 53, 36, 35, 54, 8, 69]]"
107,"[[53], [53, 49, 62, 54, 32, 68, 50, 89, 72, 69]]"
108,"[[50], [50, 36, 27, 10, 29, 35, 31, 53, 11, 32]]"
109,"[[27], [27, 5, 36, 89, 85, 31, 32, 80, 78, 73]]"
110,"[[1], [1, 14, 81, 50, 65, 31, 49, 11, 38, 22]]"
111,"[[18], [18, 50, 56, 29, 35, 38, 62, 32, 63, 49]]"
112,"[[65], [65, 21, 31, 100, 34, 98, 42, 14, 27, 53]]"
113,"[[29], [29, 35, 50, 36, 65, 27, 10, 8, 89, 53]]"
114,"[[50], [50, 62, 89, 32, 49, 72, 27, 29, 53, 68]]"
115,"[[29], [29, 50, 65, 53, 21, 36, 27, 42, 35, 32]]"
116,"[[50], [50, 49, 89, 32, 97, 53, 62, 54, 36, 69]]"
117,"[[89], [89, 50, 72, 100, 29, 27, 76, 35, 73, 78]]"
118,"[[5], [5, 15, 48, 18, 60, 7, 10, 1, 16, 63]]"
119,"[[10], [10, 9, 38, 23, 22, 3, 55, 44, 11, 67]]"
120,"[[50], [50, 29, 5, 36, 31, 32, 21, 53, 49, 11]]"
121,"[[65], [65, 62, 55, 94, 36, 53, 27, 66, 54, 91]]"
122,"[[62], [62, 68, 47, 89, 32, 61, 93, 66, 54, 28]]"
123,"[[27], [27, 5, 78, 50, 36, 89, 62, 35, 32, 61]]"
